File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\FileSystem\File.cpp,163,93,70,10,30,0,40,235,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\FileSystem\File.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Algorithm.cpp,356,183,130,18,41,3,132,904,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Hash.cpp,97,49,34,5,16,0,32,203,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Matrix.cpp,371,215,148,5,45,1,111,476,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Quaternion.cpp,298,153,110,6,43,1,102,444,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Vector.cpp,421,194,175,7,52,0,175,655,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Algorithm.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Hash.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Matrix.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Quaternion.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math\Vector.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\Allocator.cpp,150,89,59,9,26,1,35,214,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\Factory.cpp,268,177,110,8,50,0,41,259,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\GarbageCollection.cpp,314,203,151,12,53,0,58,280,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\Allocator.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\Factory.h,49,15,6,0,5,0,29,199,29,199
